Product,Category,Brand,Price,Weight,Ratings,In Stock
Product 0,Home & Garden,Ikea,2812.0,28.588961601926876,3.454071469292452,True
Product 1,Sports & Outdoors,The North Face,686.0,9.866653289541292,1.0919841679026145,False
Product 2,Sports & Outdoors,The North Face,531.0,7.8433145045681965,3.988328377335421,True
Product 3,Electronics,Vivo,2774.0,4.5443942808253555,1.6286921935675163,True
Product 4,Electronics,Blue Star,4181.0,2.630328962855804,3.015290835295425,True
Product 5,Clothing,GAP,169.0,1.3518169271648108,1.6582938893279784,True
Product 6,Clothing,Prada,34.0,0.7355730219960112,3.246958527022347,True
Product 7,Home & Garden,Woodland,636.0,33.502697550181004,3.1638948856609703,True
Product 8,Sports & Outdoors,Decathlon,1927.0,6.2330889586178895,3.0908533659910122,True
Product 9,Clothing,Adidas,315.0,0.8362414547249545,1.6349291960791303,True
Product 10,Clothing,Zara,237.0,0.8449121214764271,4.059746545898653,False
Product 11,Clothing,Raymond,290.0,0.8454394435725017,4.245443935116275,False
Product 12,Electronics,Vivo,2379.0,2.5311171465034406,4.645263036617184,False
Product 13,Electronics,Philips,3603.0,3.0314163885723877,4.226856635633533,True
Product 14,Home & Garden,Urban Ladder,1464.0,33.94943355555813,3.3677696224184155,False
Product 15,Home & Garden,Woodland,4255.0,31.05067821630481,3.9230162566969016,True
Product 16,Electronics,Realme,2357.0,4.244703854070105,3.0036056434447564,False
Product 17,Home & Garden,Crate & Barrel,1093.0,19.675346220090937,1.5396370932889027,False
Product 18,Home & Garden,Woodland,3589.0,28.527279986362096,1.5677210791155791,False
Product 19,Electronics,Apple,3801.0,4.433837347920148,2.4654566977254,False
Product 20,Electronics,Oppo,1229.0,4.427714630637597,2.448493048603551,False
Product 21,Sports & Outdoors,Nivia,1219.0,8.324706550887644,3.9584091314663157,True
Product 22,Sports & Outdoors,Decathlon,400.0,8.3689595806478,2.294015670903137,False
Product 23,Home & Garden,DMart,2142.0,21.913494503688614,2.170917954746995,False
Product 24,Home & Garden,Pottery Barn,3828.0,7.761573358025833,3.1837092393187487,True
Product 25,Home & Garden,Pottery Barn,3772.0,35.74779868045115,3.722152147526361,False
Product 26,Home & Garden,Crate & Barrel,3801.0,27.54677231154401,2.2994790449720375,True
Product 27,Home & Garden,Urban Ladder,1070.0,16.689696147543962,4.122879343270741,False
Product 28,Electronics,Realme,3398.0,3.534859841907571,2.806537347746232,False
Product 29,Home & Garden,Urban Ladder,1154.0,7.503180964384039,2.188477616145244,False
Product 30,Home & Garden,Crate & Barrel,4999.0,12.14963703039488,2.629349792376441,False
Product 31,Electronics,Realme,1412.0,1.0812586313389043,2.4207809470348844,True
Product 32,Electronics,Philips,1811.0,4.650189367904098,2.942775599521246,True
Product 33,Sports & Outdoors,Cosco,388.0,3.1716390221966817,1.224990668775272,False
Product 34,Home & Garden,Woodland,1051.0,28.270070338682892,2.488130102466359,True
Product 35,Electronics,Apple,3675.0,2.392761600986997,1.8830775578249992,True
Product 36,Electronics,Vivo,185.0,0.7254391684294551,1.7741104134321426,False
Product 37,Sports & Outdoors,Puma,711.0,7.584517261716488,4.7182815157566225,False
Product 38,Electronics,Vivo,968.0,0.5667759220971218,1.1323939095567344,True
Product 39,Home & Garden,Crate & Barrel,1545.0,49.984090374718,4.9645278564604425,False
Product 40,Electronics,Oppo,1729.0,0.48516178681869815,2.277012105194356,True
Product 41,Clothing,Prada,282.0,1.9666798432416845,1.405390002696787,False
Product 42,Electronics,LG,2616.0,3.817964566509737,1.6188573844473244,True
Product 43,Clothing,Adidas,352.0,0.5100878604014928,3.707714658672255,False
Product 44,Sports & Outdoors,Columbia,542.0,1.670844116346692,2.048349646882439,False
Product 45,Sports & Outdoors,Columbia,411.0,9.564945932805347,1.747391882665109,False
Product 46,Home & Garden,Ikea,4949.0,4.140119441005005,1.8665665011042623,True
Product 47,Electronics,Sony,3091.0,4.559430822868456,2.740245354170483,False
Product 48,Clothing,Nike,160.0,0.5712303871905009,2.412026979175172,False
Product 49,Home & Garden,Urban Ladder,4632.0,21.67096041587365,2.791869024266324,False
Product 50,Sports & Outdoors,Patagonia,367.0,3.9249319683610984,2.4821180541698546,True
Product 51,Clothing,GAP,112.0,1.3785404723711552,4.325847613493007,False
Product 52,Home & Garden,Urban Ladder,1754.0,38.79380887220689,1.4656340757868147,False
Product 53,Clothing,Adidas,215.0,1.78648476928424,3.699458973693139,False
Product 54,Electronics,Oppo,2207.0,0.4546543719004651,4.341423408724431,False
Product 55,Electronics,Realme,2089.0,4.100633971066631,3.985719566077973,True
Product 56,Electronics,Samsung,3017.0,3.987204450272674,4.652391523312087,False
Product 57,Clothing,Raymond,424.0,1.203656657970362,4.304108023813928,False
Product 58,Electronics,LG,2478.0,2.1370012947304047,3.6150170850783385,False
